file,functions,sum_ccn,max_ccn,avg_ccn,over20,nloc
src/nxt_log_moderation.c,2,8,6,4.00,0,55
src/nxt_zlib.c,4,8,5,2.00,0,39
src/nxt_port_queue.h,3,8,3,2.67,0,51
src/nxt_http_error.c,2,7,5,3.50,0,49
src/nxt_zstd.c,3,7,4,2.33,0,34
src/nxt_list.h,2,7,4,3.50,0,29
src/nxt_gmtime.c,1,6,6,6.00,0,41
src/nxt_murmur_hash.c,2,6,5,3.00,0,55
src/nxt_buf.h,4,6,3,1.50,0,20
src/nxt_rbtree.h,2,6,4,3.00,0,21
src/nxt_socket_msg.c,2,5,3,2.50,0,37
src/nxt_websocket_accept.c,2,5,4,2.50,0,42
src/nxt_port.h,3,5,3,1.67,0,22
src/nxt_djb_hash.c,2,4,2,2.00,0,26
src/nxt_mem_map.c,2,4,2,2.00,0,22
src/nxt_signal_handlers.c,4,4,1,1.00,0,21
src/nxt_tstr.h,1,4,4,4.00,0,16
src/nxt_main.c,1,3,3,3.00,0,16
src/nxt_hash.h,3,3,1,1.00,0,17
src/nxt_array.h,2,2,1,1.00,0,11
src/nxt_clang.h,1,2,2,2.00,0,8
src/nxt_router.h,1,2,2,2.00,0,6
src/nxt_string.h,1,2,2,2.00,0,7
src/nxt_unit_sptr.h,2,2,1,1.00,0,8
src/nxt_event_engine.h,1,1,1,1.00,0,6
src/nxt_thread_log.h,1,1,1,1.00,0,6
src/nxt_timer.h,1,1,1,1.00,0,5
